,segment_lenght
74456,0 days 00:04:01.800000000
74463,0 days 00:02:55.100000000
74470,0 days 00:04:30.000000000
74476,0 days 00:01:54.090000000
74483,0 days 00:03:51.850000000
80396,0 days 00:06:06.010000000
80408,0 days 00:06:55.910000000
80414,0 days 00:04:48.870000000
80424,0 days 00:03:44.210000000
80469,0 days 00:03:00.210000000
80484,0 days 00:04:47.050000000
80491,0 days 00:03:17.990000000
81579,0 days 00:05:10.190000000
81585,0 days 00:02:39.840000000
81589,0 days 00:03:11.960000000
81597,0 days 00:01:05.190000000
81603,0 days 00:06:14.980000000
82619,0 days 00:04:11.180000000
82630,0 days 00:03:14.730000000
83022,0 days 00:03:58.880000000
83029,0 days 00:04:31.160000000
83042,0 days 00:03:42.050000000
83048,0 days 00:04:02.040000000
83059,0 days 00:04:15.730000000
83069,0 days 00:03:09.180000000
83076,0 days 00:03:26.030000000
83083,0 days 00:02:54.800000000
83090,0 days 00:03:17.150000000
83214,0 days 00:02:26.090000000
83225,0 days 00:04:20.160000000
83236,0 days 00:05:05.920000000
83242,0 days 00:04:16.100000000
83247,0 days 00:04:23.980000000
83259,0 days 00:02:06.030000000
83266,0 days 00:04:09.070000000
83280,0 days 00:07:09.870000000
83288,0 days 00:04:55.230000000
83298,0 days 00:02:34.850000000
83304,0 days 00:03:36.130000000
83312,0 days 00:05:14.010000000
83897,0 days 00:05:27.950000000
83908,0 days 00:03:45.060000000
83918,0 days 00:02:08.910000000
83924,0 days 00:03:18.890000000
84317,0 days 00:02:38.850000000
84330,0 days 00:02:45.180000000
84338,0 days 00:03:09.930000000
85391,0 days 00:06:57.980000000
85411,0 days 00:03:04.860000000
85422,0 days 00:03:09.930000000
85426,0 days 00:03:26.980000000
85432,0 days 00:04:09.000000000
85438,0 days 00:02:49.200000000
85448,0 days 00:04:10.910000000
86256,0 days 00:05:29.930000000
86278,0 days 00:04:59.840000000
86288,0 days 00:04:09.100000000
91705,0 days 00:01:01.920000000
91721,0 days 00:04:25.050000000
91730,0 days 00:06:15.860000000
91741,0 days 00:04:25.920000000
91755,0 days 00:04:12.760000000
91766,0 days 00:04:25.240000000
92391,0 days 00:06:18.810000000
92406,0 days 00:03:09.020000000
92412,0 days 00:05:02.850000000
92422,0 days 00:02:25.150000000
92435,0 days 00:02:14.010000000
93370,0 days 00:02:05.110000000
93376,0 days 00:06:57.940000000
93382,0 days 00:02:19.050000000
93392,0 days 00:02:01.110000000
93396,0 days 00:03:06.200000000
93406,0 days 00:02:37.050000000
93411,0 days 00:02:15.890000000
93952,0 days 00:03:51.060000000
93961,0 days 00:03:56.820000000
93968,0 days 00:04:16.250000000
93974,0 days 00:04:36.920000000
93992,0 days 00:03:37.180000000
93998,0 days 00:04:47.770000000
94009,0 days 00:05:44.040000000
94018,0 days 00:03:57.120000000
94026,0 days 00:03:39.920000000
94043,0 days 00:04:57.060000000
94051,0 days 00:03:23.080000000
94060,0 days 00:04:12.860000000
94064,0 days 00:02:42.170000000
95017,0 days 00:04:50.140000000
95037,0 days 00:08:22.070000000
95047,0 days 00:01:48.090000000
95661,0 days 00:03:22.890000000
95673,0 days 00:04:25.010000000
95681,0 days 00:03:24.080000000
95694,0 days 00:04:39.940000000
95699,0 days 00:01:59.890000000
96359,0 days 00:06:05.990000000
96375,0 days 00:02:58.160000000
96382,0 days 00:03:24.870000000
96614,0 days 00:06:17.890000000
96757,0 days 00:03:09.780000000
96763,0 days 00:04:55.090000000
96768,0 days 00:03:34.000000000
96776,0 days 00:03:13.030000000
96783,0 days 00:05:21.980000000
96790,0 days 00:04:54.070000000
96802,0 days 00:03:22.970000000
96809,0 days 00:04:47.230000000
96816,0 days 00:05:34.790000000
96821,0 days 00:00:17.200000000
96825,0 days 00:00:22.840000000
96829,0 days 00:00:21.100000000
96833,0 days 00:00:32.940000000
96837,0 days 00:00:40.050000000
96840,0 days 00:00:21.030000000
97086,0 days 00:06:33.950000000
97094,0 days 00:05:35.070000000
97504,0 days 00:04:46.240000000
97512,0 days 00:05:52.870000000
97519,0 days 00:03:39.030000000
97537,0 days 00:03:31.750000000
97665,0 days 00:04:41.980000000
97671,0 days 00:04:54.070000000
98286,0 days 00:06:00.000000000
98292,0 days 00:02:42.000000000
98298,0 days 00:05:15.000000000
98312,0 days 00:07:28.000000000
98316,0 days 00:05:05.000000000
98320,0 days 00:06:36.000000000
98325,0 days 00:04:14.000000000
98338,0 days 00:05:26.120000000
98347,0 days 00:03:20.730000000
98353,0 days 00:05:23.160000000
98363,0 days 00:01:59.000000000
99409,0 days 00:06:08.130000000
99420,0 days 00:02:02.960000000
